ksize, cityblock, euclidean, cosine, l1
1, 0.9716666666666667, 0.9666666666666667, 0.9666666666666667, 0.9716666666666667
2, 0.9666666666666667, 0.9683333333333334,0.9683333333333334, 0.9666666666666667
3, 0.9666666666666667, 0.9716666666666667,0.9716666666666667, 0.9666666666666667
4, 0.9633333333333334, 0.975,0.975, 0.9633333333333334
5, 0.965, 0.97,0.97, 0.965
6, 0.9566666666666667, 0.9616666666666667,0.9616666666666667, 0.9566666666666667
7, 0.96, 0.9566666666666667,0.9566666666666667, 0.96
8, 0.9533333333333334, 0.955,0.955, 0.9533333333333334
9, 0.948333333333333, 0.9466666666666667,0.9466666666666667, 0.9483333333333334
